Plate  MJD    Fib   z        
-----  -----  ----  ---------
  306  51690    1    0.105700
  306  51690    2    0.038072
  306  51690    3    0.214478
  306  51690    5    0.149393
  306  51690    7    0.179883
  306  51690    8    0.090122
  306  51690    9    0.081034
  306  51690   10    0.037511
  306  51690   11    0.180721
  306  51690   12    0.107524
  306  51690   13    0.243873
  306  51690   14    0.256568
  306  51690   15    0.215002
  306  51690   16    0.281772
  306  51690   17    0.107173
  306  51690   19    0.106112
  306  51690   22    0.140459
  306  51690   23    0.134761
  306  51690   25    0.105161
  306  51690   26    0.081737
  306  51690   27    0.036760
  306  51690   28    0.122044
  306  51690   30    0.081941
  306  51690   31    0.105162
  306  51690   32    0.136627
  306  51690   33    0.460158
  306  51690   35    0.285066
  306  51690   36    0.037948
  306  51690   37    0.105294
  306  51690   38    0.137097
  306  51690   39    0.081616
  306  51690   40    0.105770
  306  51690   41    0.088668
  306  51690   42    0.224545
  306  51690   44    0.228228
  306  51690   45    0.025172
  306  51690   46    0.179834
  306  51690   49    0.244531
  306  51690   50    0.130862
  306  51690   51    0.162490
  306  51690   52    0.218597
  306  51690   55    0.218773
  306  51690   56    0.047574
  306  51690   57    0.106089
  306  51690   58    0.218805
  306  51690   59    0.461134
  306  51690   60    0.387098
  306  51690   61    0.325977
  306  51690   62    0.106631
  306  51690   63    0.107072
  306  51690   65    0.106832
  306  51690   66    0.287679
  306  51690   67    0.080680
  306  51690   68    0.218465
  306  51690   69    0.105443
  306  51690   70    0.106736
  306  51690   71    0.136830
  306  51690   72    0.139392
  306  51690   73    0.029019
  306  51690   74    0.092601
  306  51690   75    0.134799
  306  51690   77    0.218010
  306  51690   78    0.056616
  306  51690   79    0.137899
  306  51690   80    0.139639
  306  51690   81    0.029478
  306  51690   82    0.013522
  306  51690   83    0.080653
  306  51690   84    0.081472
  306  51690   85    0.228471
  306  51690   86    0.056017
  306  51690   87    0.055434
  306  51690   88    0.055563
  306  51690   89    0.055774
  306  51690   90    0.132408
  306  51690   91    0.326154
  306  51690   92    0.133475
  306  51690   94    0.147862
  306  51690   95    0.163074
  306  51690   96    0.088770
  306  51690   97    0.055318
  306  51690   98    0.081840
  306  51690   99    0.130576
  306  51690  100    0.248888
  306  51690  101    0.137303
  306  51690  102    0.106514
  306  51690  103    0.105998
  306  51690  104    0.129053
  306  51690  105    0.105700
  306  51690  106    0.220820
  306  51690  108    0.106739
  306  51690  112    0.161411
  306  51690  113    0.005764
  306  51690  115    0.210711
  306  51690  116    0.122913
  306  51690  118    0.151644
  306  51690  119    0.122314
  306  51690  120    0.138951
  306  51690  121    0.121472
  306  51690  122    0.121532
  306  51690  123    0.115984
  306  51690  125    0.262608
  306  51690  126    0.054404
  306  51690  130    0.136811
  306  51690  131    0.121733
  306  51690  132    0.216743
  306  51690  136    0.150530
  306  51690  137    0.054465
  306  51690  140    0.054953
  306  51690  141    0.029456
  306  51690  142    0.136792
  306  51690  144    0.122454
  306  51690  145    0.136083
  306  51690  146    0.088556
  306  51690  148    0.055782
  306  51690  149    0.088649
  306  51690  150    0.136816
  306  51690  151    0.083435
  306  51690  152    0.147390
  306  51690  153    0.035635
  306  51690  154    0.401945
  306  51690  155    0.105969
