#    lam  spec.e spec.sa spec.sb spec.sd  spec.ir
#
3701.100 0.50569 0.60876 0.66448 0.68889 1.04619
3701.960 0.49348 0.59902 0.65711 0.68585 1.05308
3702.810 0.47927 0.58653 0.64617 0.67679 1.05548
3703.660 0.45651 0.56713 0.62990 0.66516 1.05094
3704.510 0.43118 0.54416 0.60897 0.64572 1.06364
3705.370 0.40997 0.52585 0.59333 0.63379 1.05958
3706.220 0.40110 0.51850 0.58742 0.63019 1.03696
3707.070 0.39514 0.51416 0.58467 0.63064 1.03570
3707.930 0.39395 0.51491 0.58743 0.63843 1.04091
3708.780 0.40382 0.52430 0.59650 0.64812 1.04902
3709.640 0.41580 0.53405 0.60413 0.65203 1.04548
3710.490 0.43156 0.54604 0.61242 0.65314 1.04327
3711.350 0.45465 0.56463 0.62671 0.65974 1.04623
3712.200 0.47337 0.57857 0.63598 0.65970 1.03952
3713.050 0.49559 0.59727 0.65138 0.66990 1.04858
3713.910 0.50932 0.61115 0.66565 0.68724 1.05999
3714.770 0.51647 0.62027 0.67697 0.70531 1.08275
3715.620 0.51635 0.62347 0.68363 0.72090 1.10268
3716.480 0.50485 0.61644 0.68109 0.72822 1.11293
3717.330 0.48965 0.60655 0.67650 0.73503 1.13241
3718.190 0.46019 0.58171 0.65599 0.72124 1.13382
3719.040 0.43170 0.55671 0.63416 0.70324 1.11470
3719.900 0.40926 0.53617 0.61524 0.68504 1.10168
3720.760 0.38557 0.51332 0.59286 0.66030 1.09902
3721.610 0.37877 0.50829 0.58958 0.66048 1.12511
3722.470 0.39381 0.52541 0.60913 0.68863 1.17531
3723.330 0.43215 0.57445 0.67003 0.78614 1.31870
3724.190 0.48367 0.66298 0.79818 1.02502 1.69617
3725.040 0.54295 0.81173 1.04157 1.52343 2.58228
3725.900 0.59251 0.98520 1.34556 2.17460 3.94198
3726.760 0.61247 1.10805 1.57643 2.68966 5.09213
3727.620 0.62954 1.18464 1.71559 2.99412 5.68089
3728.480 0.63246 1.22716 1.79962 3.18656 6.11311
3729.330 0.60238 1.21245 1.80049 3.22357 6.36246
3730.190 0.54947 1.08267 1.58941 2.79297 5.60963
3731.050 0.49534 0.86590 1.20152 1.95144 3.86194
3731.910 0.45569 0.68209 0.86618 1.21549 2.24543
3732.770 0.41128 0.56344 0.66909 0.80736 1.38505
3733.630 0.36895 0.49743 0.57758 0.64303 1.11861
3734.490 0.33918 0.46040 0.53245 0.57222 1.01475
3735.350 0.31743 0.43925 0.51158 0.54865 0.98529
3736.210 0.31642 0.43786 0.50979 0.54553 0.96511
3737.070 0.32302 0.44552 0.51868 0.55849 0.96237
3737.930 0.34117 0.46427 0.53838 0.58330 0.98610
3738.790 0.37146 0.49436 0.56879 0.61906 1.02315
3739.650 0.39952 0.52428 0.60115 0.66189 1.06748
3740.510 0.41821 0.54483 0.62396 0.69336 1.10728
3741.380 0.42845 0.55503 0.63430 0.70551 1.11810
3742.240 0.43062 0.56040 0.64309 0.72335 1.13371
3743.100 0.41893 0.54969 0.63321 0.71374 1.12442
3743.960 0.40296 0.53362 0.61677 0.69383 1.12380
3744.820 0.38411 0.51649 0.60115 0.67912 1.10146
3745.690 0.36503 0.49571 0.57828 0.64776 1.05413
3746.550 0.34731 0.47733 0.55892 0.62302 1.02303
3747.410 0.33339 0.45911 0.53596 0.58556 0.97766
3748.270 0.32761 0.44907 0.52139 0.55820 0.93928
3749.140 0.32495 0.44378 0.51332 0.54236 0.91553
3750.000 0.33064 0.44846 0.51705 0.54442 0.94319
3750.860 0.34512 0.45972 0.52521 0.54662 0.95028
3751.730 0.37701 0.48815 0.55057 0.56872 0.95630
3752.590 0.40774 0.51698 0.57795 0.59686 0.96522
3753.460 0.43866 0.54665 0.60687 0.62835 0.98458
3754.320 0.46219 0.57203 0.63460 0.66560 1.01250
3755.190 0.47346 0.58950 0.65877 0.70876 1.07712
3756.050 0.48086 0.59759 0.66772 0.72093 1.09459
3756.910 0.46991 0.59076 0.66504 0.72721 1.11090
3757.780 0.45366 0.57784 0.65534 0.72324 1.11371
3758.650 0.43297 0.55972 0.63957 0.71028 1.10639
3759.510 0.42414 0.55151 0.63188 0.70245 1.10652
3760.380 0.42712 0.55585 0.63770 0.71243 1.11283
3761.240 0.42858 0.55986 0.64442 0.72623 1.13106
3762.110 0.43238 0.56335 0.64767 0.72928 1.12833
3762.980 0.43388 0.56486 0.64924 0.73104 1.12634
3763.840 0.44006 0.56944 0.65228 0.73085 1.12125
3764.710 0.44116 0.56900 0.65026 0.72474 1.10985
3765.580 0.43669 0.56286 0.64231 0.71126 1.09454
3766.440 0.43513 0.55679 0.63152 0.68778 1.04968
3767.310 0.43308 0.55189 0.62362 0.67159 1.02442
3768.180 0.43250 0.54424 0.60859 0.63716 0.97190
3769.050 0.43352 0.54125 0.60145 0.61919 0.93715
3769.910 0.43811 0.54432 0.60302 0.61743 0.95536
3770.780 0.45220 0.55343 0.60719 0.61081 0.97217
3771.650 0.46193 0.56191 0.61455 0.61659 0.98328
3772.520 0.47167 0.57128 0.62373 0.62653 0.97643
3773.390 0.48425 0.58246 0.63368 0.63499 0.96108
3774.260 0.49800 0.59916 0.65371 0.66552 0.97424
3775.130 0.50517 0.61157 0.67174 0.69905 1.01054
3775.990 0.51128 0.62092 0.68463 0.72186 1.04879
3776.860 0.52218 0.63464 0.70151 0.74840 1.08169
3777.730 0.53127 0.64602 0.71545 0.77022 1.10692
3778.600 0.53839 0.65732 0.73127 0.79866 1.14399
3779.470 0.54772 0.66860 0.74478 0.81919 1.16986
3780.340 0.55906 0.68118 0.75887 0.83873 1.20002
3781.210 0.56649 0.69123 0.77181 0.86011 1.22600
3782.090 0.57209 0.69750 0.77891 0.87002 1.24141
3782.960 0.57583 0.70041 0.78104 0.87048 1.23724
3783.830 0.56899 0.69446 0.77591 0.86626 1.22947
3784.700 0.55637 0.68750 0.77470 0.87782 1.25877
3785.570 0.53978 0.67207 0.76023 0.86312 1.24318
3786.440 0.52306 0.65472 0.74193 0.83963 1.21073
3787.310 0.50065 0.63332 0.72125 0.81720 1.20015
3788.190 0.48228 0.61717 0.70712 0.80532 1.18196
3789.060 0.46764 0.60319 0.69361 0.79055 1.15541
3789.930 0.45986 0.59600 0.68692 0.78381 1.16317
3790.800 0.45907 0.59395 0.68358 0.77673 1.14211
3791.680 0.45597 0.58790 0.67442 0.75881 1.11617
3792.550 0.45474 0.58421 0.66816 0.74547 1.09385
