Plate  MJD    Fib   z          Class      Subclass   Comments
-----  -----  ----  ---------  ---------  ---------  --------------------------
  301  51641  523    0.000000  O          O
#
  301  51641  303    0.000000  B          B
#
  301  51641  402    0.000442  A          A
#
  301  51641   59    0.000000  F          F
  301  51641   61    0.000000  F          F
  301  51641  209    0.000000  F          F
  301  51641  231    0.000000  F          F
  301  51641  449    0.000000  F          F
  301  51641  615    0.000000  F          F
  306  51690  114    0.000000  F          F
  306  51690  217    0.000000  F          F
  306  51690  236    0.000000  F          F
  306  51690  285    0.000000  F          F
  306  51690  452    0.000000  F          F
  306  51690  550    0.000000  F          F
  306  51690  595    0.000000  F          F
  306  51690  616    0.000000  F          F
#
  304  51609    5    0.000000  K          K
  304  51609  264    0.000000  K          K
  304  51609  273    0.000000  K          K
  304  51609  384    0.000000  K          K
#
# 304  51609  485   0.000000  M
# 306  51690  139   0.000000  M
  384  51821  407    0.000000  M          M1
  402  51793  204    0.000000  M          M1
  404  51812  504    0.000000  M          M2
  367  51997  593    0.000000  M          M3
# 409  51871  460    0.000000  M          M3  Is this one an outlier in PCA space?
  288  52000  536    0.000000  M          M4
  289  51990  180    0.000000  M          M5
  384  51821  201    0.000000  M          M5
  399  51817  525    0.000000  M          M6
  408  51821  493    0.000000  M          M6
  310  51990  230    0.000000  M          M7
  402  51793  340    0.000000  M          M7
  409  51871  614    0.000000  M          M8
  410  51877  341    0.000000  M          M8
  359  51821  621    0.000000  M          M8
  409  51871   70    0.000000  M          M9
#
  394  51876  524    0.000000  sdM        sdM
  427  51900   19    0.000000  sdM        sdM
  431  51877  157    0.000000  sdM        sdM
  450  51908  473    0.000000  sdM        sdM
  485  51909  145    0.000000  sdM        sdM
  494  51915   51    0.000000  sdM        sdM
  602  52072  194    0.000000  sdM        sdM
#
  301  51641   97    0.000000  L          L
  301  51641  301    0.000000  L          L
  304  51609  288    0.000000  L          L
  308  51662  186    0.000000  L          L
# 349  51699  207    0.000000  L          L  Low signal
# 414  51901  528    0.000000  L          L  Low signal
#
  301  51641  223    0.000000  Carbon_DQ  Carbon_DQ
#
  301  51641  305    0.000000  Carbon     Carbon
#
  301  51641  322    0.000000  WD         WD
#
  306  51690   20    0.000000  CV         CV
